timeDuration;nMovements;movementsDifficulty;AItechnique;robotSpeech;acrobaticMovements;movementsRepetition;musicGenre;movementsTransitionsDuration;humanMovements;balance;speed;bodyPartsCombination;musicBPM;sameStartEndPositionPlace;headMovement;armsMovement;handsMovement;legsMovement;feetMovement;EvaluationChoreographyStoryTelling;EvaluationChoreographyRhythm;EvaluationChoreographyMovementTechnique;EvaluationPublicInvolvement;EvaluationChoreographySpace;EvaluationChoreographyHumanCharacterization;EvaluationHumanReproducibility
61;11;2;searchStartegy;1;0;1;Electronic;2;3;3;1;2;127;0;2;3;2;2;1;3;4;4;3;2;2;5
61;11;2;searchStartegy;1;0;1;Electronic;2;3;3;1;2;127;0;2;3;2;2;1;2;3;5;3;3;2;5
61;11;2;searchStartegy;1;0;1;Electronic;2;3;3;1;2;127;0;2;3;2;2;1;3;4;5;5;4;5;3
61;11;2;searchStartegy;1;0;1;Electronic;2;3;3;1;2;127;0;2;3;2;2;1;3;4;3;4;4;3;4
61;11;2;searchStartegy;1;0;1;Electronic;2;3;3;1;2;127;0;2;3;2;2;1;4;4;3;3;2;2;4
61;11;2;searchStartegy;1;0;1;Electronic;2;3;3;1;2;127;0;2;3;2;2;1;3;5;5;4;4;4;5
61;11;2;searchStartegy;1;0;1;Electronic;2;3;3;1;2;127;0;2;3;2;2;1;3;4;5;4;3;4;5
61;11;2;searchStartegy;1;0;1;Electronic;2;3;3;1;2;127;0;2;3;2;2;1;4;4;4;4;4;3;4
61;11;2;searchStartegy;1;0;1;Electronic;2;3;3;1;2;127;0;2;3;2;2;1;4;4;5;2;2;1;5
61;11;2;searchStartegy;1;0;1;Electronic;2;3;3;1;2;127;0;2;3;2;2;1;3;5;5;4;4;5;5
61;11;2;searchStartegy;1;0;1;Electronic;2;3;3;1;2;127;0;2;3;2;2;1;1;1;1;1;1;1;1
61;11;2;searchStartegy;1;0;1;Electronic;2;3;3;1;2;127;0;2;3;2;2;1;5;5;5;4;2;4;4
61;11;2;searchStartegy;1;0;1;Electronic;2;3;3;1;2;127;0;2;3;2;2;1;4;4;4;4;3;3;5
61;11;2;searchStartegy;1;0;1;Electronic;2;3;3;1;2;127;0;2;3;2;2;1;5;4;5;5;4;4;5
61;11;2;searchStartegy;1;0;1;Electronic;2;3;3;1;2;127;0;2;3;2;2;1;4;5;2;3;3;2;5
61;11;2;searchStartegy;1;0;1;Electronic;2;3;3;1;2;127;0;2;3;2;2;1;3;1;4;3;3;3;4
61;11;2;searchStartegy;1;0;1;Electronic;2;3;3;1;2;127;0;2;3;2;2;1;4;4;4;4;2;4;4
61;11;2;searchStartegy;1;0;1;Electronic;2;3;3;1;2;127;0;2;3;2;2;1;3;2;4;2;2;2;4
61;11;2;searchStartegy;1;0;1;Electronic;2;3;3;1;2;127;0;2;3;2;2;1;5;5;4;4;4;5;4
61;11;2;searchStartegy;1;0;1;Electronic;2;3;3;1;2;127;0;2;3;2;2;1;2;4;4;2;1;2;5
61;11;2;searchStartegy;1;0;1;Electronic;2;3;3;1;2;127;0;2;3;2;2;1;4;4;4;2;3;3;2
61;11;2;searchStartegy;1;0;1;Electronic;2;3;3;1;2;127;0;2;3;2;2;1;4;2;4;4;3;4;5
61;11;2;searchStartegy;1;0;1;Electronic;2;3;3;1;2;127;0;2;3;2;2;1;4;4;4;3;2;4;4
61;11;2;searchStartegy;1;0;1;Electronic;2;3;3;1;2;127;0;2;3;2;2;1;4;4;5;5;2;4;5
61;11;2;searchStartegy;1;0;1;Electronic;2;3;3;1;2;127;0;2;3;2;2;1;3;4;5;3;3;5;5
61;11;2;searchStartegy;1;0;1;Electronic;2;3;3;1;2;127;0;2;3;2;2;1;3;4;3;4;4;3;5
61;11;2;searchStartegy;1;0;1;Electronic;2;3;3;1;2;127;0;2;3;2;2;1;4;4;2;5;3;3;2
61;11;2;searchStartegy;1;0;1;Electronic;2;3;3;1;2;127;0;2;3;2;2;1;4;3;4;4;3;4;4
61;11;2;searchStartegy;1;0;1;Electronic;2;3;3;1;2;127;0;2;3;2;2;1;3;4;4;4;4;3;5
61;11;2;searchStartegy;1;0;1;Electronic;2;3;3;1;2;127;0;2;3;2;2;1;3;5;5;3;5;3;5
61;11;2;searchStartegy;1;0;1;Electronic;2;3;3;1;2;127;0;2;3;2;2;1;4;4;4;3;3;3;5
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;1;2;2;2;2;2;5
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;4;3;3;1;2;1;5
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;2;3;2;2;2;3;4
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;3;4;4;4;4;4;4
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;2;4;3;2;4;2;5
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;5;4;4;3;5;3;5
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;4;4;5;3;3;4;5
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;4;3;3;3;3;3;3
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;4;3;4;3;3;3;3
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;3;4;3;2;3;4;5
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;1;1;1;1;1;1;1
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;1;2;2;2;2;2;4
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;2;3;2;2;2;2;5
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;2;1;4;1;4;3;5
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;2;3;3;2;2;2;5
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;3;4;2;4;3;3;5
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;2;2;4;2;4;2;4
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;3;2;2;1;2;2;4
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;4;3;3;2;3;3;4
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;3;2;3;1;1;2;5
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;5;3;4;2;4;4;4
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;2;2;4;3;3;2;5
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;4;4;4;4;2;3;4
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;2;1;2;1;1;1;4
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;2;2;2;2;1;2;5
56;6;2;planning;0;0;3;Rap;3;2;3;1;1;136;1;1;2;2;2;1;4;4;3;3;3;4;4
